"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Allemagne","DEU","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7695688","8426520","9252670","10943452","12479419","13598987","15009691","16644222","17183042.1168","13296300.2124179","13056019","15199337","15272901","15409721","15880228","15029425","15139890","15169595","15094593","15029605","13950977","14716437","",
"Djibouti","DJI","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294902","356462","519500","406407","703617","743273","787867","864027","910165","987400","928000","859000","917000","860000","692000","",
"Dominique","DMA","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7363","7836","6890","7469","7744","7361","7361","7425","7393","7409","7401","","",
"Danemark","DNK","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568660","457386","587300","888729","1213919","913960","679707","775117","740682","621546","698683","782195","763658","749353","750554","756464","712615","820654","833830","880039","933295","1055262","",
"République dominicaine","DOM","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566479","487827","541930","480650","537317","","597583","883785","1138471","1263467.5494","1382905","1476007","1751758","1446902","1265132","1367118","1486227","1770295","1906487","1894225","1781902","2184754","",
"Algérie","DZA","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267530","311111","","","","","","200050","225140","250095.2398","1198252","1309432","1398615","1514392","1658776","1694425","1831056","1725238","1844422","1793990","1553362","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56840499","62621336","77904818","86891558","102402184","96232448","114796121","140639995","155725485.3104","147752713.767078","186411998.155","207183440.222","223311652.394","236364146.418","251031275.898","262232231.473","272128139.793","292633233.32","306757083.171","318894138.08","319574172","341050101","",
"de dividende précoce démographique","EAR","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24653677","27613470","27230030","33495544","36951024","44473958","48474936","60134388","67893464.2896","66375942.1348474","76395170.546","85337532.102","88837270.18","90660923.518","93044241.728","95775444.433","98830792.203","108592238.13","114958471.81","116315369.26","112563181","120120663","",
"Asie de l’Est et Pacifique","EAS","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111180913","115948099","137479148","151803542","174201309","193780272","217761320","252296411","269311779.7","247674210.41178","299872467.635","326974940.269","346017182.321","360689609.853","379454559.341","385555402.243","396516128.259","424048242.142","443275555.494","454616080.96","451486343","475140927","",
"Europe et Asie centrale (hors revenu élevé)","ECA","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4727427","5557963","6679090","8980071","10217550.7952","7852991.69515488","10224203.49","12078884.39","13195088.567","14200486.244","14427710.314","12894081.2742","13741672.2642","15223551.9842","17114404.0342","18591253.41","18404455","19119688","",
